kunde_id;firmenname;branche;plz;ort;ansprechpartner;email;niederlassung;betreuer;kundenstatus;rahmenvertrag;verrechnungssatz_std;letzte_anfrage;anfragen_2025;besetzungen_2025
KD-0028;Logistikzentrum Eisenach GmbH;Logistik und Lager;99817;Eisenach;Elke Braun;info@logistikzentru.de;Gotha;Rehberg, U.;Aktiv;Ja;27,25;2026-03-14;8;3
KD-0029;Logistikzentrum Rudolstadt GmbH;Logistik und Lager;07407;Rudolstadt;Marco Becker;info@logistikzentru.de;Jena;Grunewald, F.;Inaktiv;Nein;26,03;2021-01-12;0;0
KD-0030;Günther Offsetdruck GmbH;Druck und Verpackung;07973;Greiz;Sandra Haas;info@guenther.de;Gera;Bergmann, A.;Aktiv;Nein;28,39;2026-04-28;5;2
KD-0031;Verpackungswerk Aschersleben OHG;Druck und Verpackung;06449;Aschersleben;Andreas Herrmann;personal@verpackungswer.de;Aschersleben;Reuter, B.;Inaktiv;Nein;29,23;2023-10-06;0;0
KD-0032;Drehteilewerk Ilmenau OHG;CNC-Zerspanung;98693;Ilmenau;Uwe Baumann;office@drehteilewerk.de;Gotha;Steinbrück, M.;Aktiv;Nein;34,11;2026-05-05;12;4
KD-0033;Präzisionstechnik Schmidt e.K.;Metall- und Kunststoffverarbeitung;06449;Aschersleben;Torsten Stein;personal@praezisionstec.de;Aschersleben;Kunze, J.;Interessent;Nein;;2026-08-11;0;0
KD-0034;Köhler & Söhne Blechbearbeitung GmbH & Co. KG;Metall- und Kunststoffverarbeitung;99086;Erfurt;Sven Roth;info@koehler.de;Erfurt;Pfaff, R.;Aktiv;Ja;28,55;2026-05-21;2;1
KD-0035;Schröder & Söhne Blechbearbeitung GmbH;Metall- und Kunststoffverarbeitung;99310;Arnstadt;Franziska Seidel;verwaltung@schroeder.de;Erfurt;Steinbrück, M.;Interessent;Nein;;2024-03-23;0;0
KD-0036;Koch Abrechnungsdienste GmbH & Co. KG;Kaufmännische Dienstleistung;99817;Eisenach;Anja Bauer;office@koch.de;Gotha;Thiel, K.;Inaktiv;Nein;29,34;2023-02-06;0;0
KD-0037;Kundenzentrum Rudolstadt GmbH & Co. KG;Kaufmännische Dienstleistung;07407;Rudolstadt;Sandra Peters;office@kundenzentrum.de;Jena;Steinbrück, M.;Aktiv;Nein;25,77;2026-05-17;10;1
KD-0038;Energietechnik Ohrdruf GmbH;Elektro und Anlagenbau;99885;Ohrdruf;Dirk Zimmermann;info@energietechnik.de;Gotha;Thiel, K.;Aktiv;Ja;36,73;2025-12-22;8;3
KD-0039;Bauunternehmen Beck GmbH & Co. KG;Bau und Baunebengewerbe;07743;Jena;Dirk Böhm;verwaltung@bauunternehmen.de;Jena;Seidel, C.;Interessent;Nein;;2026-05-31;0;0
KD-0040;Möbelwerk Mühlhausen GmbH & Co. KG;Tischlerei und Holzverarbeitung;99974;Mühlhausen;Doreen Lorenz;office@moebelwerk.de;Heilbad Heiligenstadt;Hille, P.;Aktiv;Nein;29,84;2026-08-20;7;1
KD-0041;Baumann Abrechnungsdienste GmbH & Co. KG;Kaufmännische Dienstleistung;99817;Eisenach;Heike Krüger;kontakt@baumann.de;Gotha;Steinbrück, M.;Interessent;Nein;;2024-06-22;0;0
KD-0042;Richter Spedition GmbH;Logistik und Lager;99091;Erfurt;Frank Jung;hr@richter.de;Erfurt;Kaiser, T.;Aktiv;Ja;24,32;2025-11-18;11;2
KD-0043;Schubert Hoch- und Tiefbau OHG;Bau und Baunebengewerbe;06484;Quedlinburg;Torsten Schumacher;personal@schubert.de;Aschersleben;Reuter, B.;Inaktiv;Nein;28,36;2022-01-17;0;0
KD-0044;Innenausbau Peters AG;Tischlerei und Holzverarbeitung;99974;Mühlhausen;Katrin Schuster;verwaltung@innenausbau.de;Heilbad Heiligenstadt;Marx, D.;Inaktiv;Nein;32,74;2020-01-17;0;0
KD-0045;Meyer Verwaltungsservice GmbH & Co. KG;Kaufmännische Dienstleistung;99867;Gotha;Elke Schreiber;office@meyer.de;Gotha;Rehberg, U.;Inaktiv;Nein;25,98;2021-06-11;0;0
KD-0046;Drehteilewerk Gotha e.K.;CNC-Zerspanung;99867;Gotha;Stefan Haas;office@drehteilewerk.de;Gotha;Thiel, K.;Aktiv;Ja;33,03;2026-08-07;4;2
KD-0047;Kunststofftechnik Weimar GmbH & Co. KG;Metall- und Kunststoffverarbeitung;99423;Weimar;Manuela Herrmann;personal@kunststofftech.de;Erfurt;Steinbrück Nicole;Interessent;Nein;;2026-01-09;0;0
KD-0048;Fleischwerk Mühlhausen OHG;Lebensmittelproduktion;99974;Mühlhausen;Stefan Lehmann;office@fleischwerk.de;Heilbad Heiligenstadt;Hille, P.;Aktiv;Ja;24,33;2026-08-16;2;1
KD-0049;Kunststofftechnik Erfurt AG;Metall- und Kunststoffverarbeitung;99098;Erfurt;Ramona Krüger;info@kunststofftech.de;Erfurt;Kaiser, T.;Inaktiv;Nein;26,47;2020-03-07;0;0
KD-0050;Eisenacher Feinmechanik GmbH;CNC-Zerspanung;99817;Eisenach;Kevin Friedrich;personal@eisenacher.de;Gotha;Rehberg, U.;Aktiv;Ja;34,08;2026-02-21;6;5
KD-0051;Pohl Feinkost OHG;Lebensmittelproduktion;07545;Gera;Andreas Möller;kontakt@pohl.de;Gera;Weber, M.;Inaktiv;Nein;27,23;2022-09-03;0;0
KD-0052;Distributionszentrum Heilbad Heiligenstadt GmbH;Logistik und Lager;37308;Heilbad Heiligenstadt;Patrick Hartmann;hr@distributionsz.de;Heilbad Heiligenstadt;Hille, P.;Interessent;Nein;;2026-01-25;0;0
KD-0053;Winter Abrechnungsdienste GmbH;Kaufmännische Dienstleistung;37308;Heilbad Heiligenstadt;Claudia Schneider;personal@winter.de;Heilbad Heiligenstadt;Marx, D.;Inaktiv;Nein;30,80;2022-06-11;0;0
KD-0054;Friedrich Metallverarbeitung GmbH;Metall- und Kunststoffverarbeitung;07549;Gera;Robert Franke;kontakt@friedrich.de;Gera;Steinbrück, M.;Aktiv;Ja;27,96;2026-02-27;4;1
KD-0055;Erfurter Feinmechanik GmbH & Co. KG;CNC-Zerspanung;99087;Erfurt;Thomas Keller;info@erfurter.de;Erfurt;Lindner, S.;Aktiv;Ja;33,94;2026-01-27;6;4
KD-0056;Walter Hoch- und Tiefbau KG;Bau und Baunebengewerbe;99610;Sömmerda;Kerstin Groß;kontakt@walter.de;Erfurt;Pfaff, R.;Inaktiv;Nein;32,82;2022-09-24;0;0
KD-0057;Servicecenter Erfurt KG;Kaufmännische Dienstleistung;99098;Erfurt;Jörg Schuster;kontakt@servicecenter.de;Erfurt;Steinbrück, M.;Interessent;Nein;;2026-01-19;0;0
KD-0058;Groß Präzisionsteile GmbH & Co. KG;CNC-Zerspanung;99427;Weimar;Maik Roth;hr@gross.de;Erfurt;Pfaff, R.;Aktiv;Nein;33,90;2026-05-03;35;23
KD-0059;Lang Schaltanlagen KG;Elektro und Anlagenbau;99423;Weimar;Sven Krüger;verwaltung@lang.de;Erfurt;Steinbrück, M.;Inaktiv;Nein;30,73;2025-02-05;5;0
KD-0060;Druckerei Jung AG;Druck und Verpackung;99510;Apolda;;verwaltung@druckerei.de;Erfurt;Pfaff, R.;Interessent;Nein;;2026-01-28;0;0
KD-0061;Thüringer Kunststoffwerk Gera e.K.;Metall- und Kunststoffverarbeitung;07549;Gera;Steffen Stein;info@thueringer.de;Gera;Bergmann, A.;Inaktiv;Nein;29,78;2019-08-12;0;0
KD-0062;Lang Abrechnungsdienste GmbH;Kaufmännische Dienstleistung;99310;Arnstadt;Nadine Dietrich;kontakt@lang.de;Erfurt;Lindner, S.;Aktiv;Nein;27,32;2026-01-22;4;2
KD-0063;Verpackungswerk Gotha GmbH;Druck und Verpackung;99867;Gotha;Beate Krämer;office@verpackungswer.de;Gotha;Rehberg, U.;Inaktiv;Nein;29,23;2021-08-13;0;0
KD-0064;Kundenzentrum Eisenach e.K.;Kaufmännische Dienstleistung;99817;Eisenach;Marco Schneider;office@kundenzentrum.de;Gotha;Thiel, K.;Inaktiv;Nein;30,46;2023-10-27;0;0
KD-0065;Apoldaer Druckhaus OHG;Druck und Verpackung;99510;Apolda;Matthias Brandt;info@apoldaer.de;Erfurt;Lindner, S.;Inaktiv;Ja;28,33;2021-03-19;0;0
KD-0066;Zeulenrodaer Umschlaglager e.K.;Logistik und Lager;07937;Zeulenroda;Silke Werner;verwaltung@zeulenrodaer.de;Gera;Weber, M.;Interessent;Nein;;2026-08-27;0;0
KD-0067;Drehteilewerk Nordhausen OHG;CNC-Zerspanung;99734;Nordhausen;Simone Baumann;personal@drehteilewerk.de;Heilbad Heiligenstadt;Marx, D.;Aktiv;Ja;35,66;2026-01-11;21;4
KD-0068;Kunststofftechnik Erfurt OHG;Metall- und Kunststoffverarbeitung;99087;Erfurt;Matthias Lange;personal@kunststofftech.de;Erfurt;Steinbrück, M.;Aktiv;Ja;28,37;2026-06-07;6;3
KD-0069;Drehteilewerk Gera e.K.;CNC-Zerspanung;07549;Gera;Beate Martin;personal@drehteilewerk.de;Gera;Weber, M.;Aktiv;Ja;33,57;2026-07-13;2;1
KD-0070;Präzisionstechnik Groß KG;Metall- und Kunststoffverarbeitung;07749;Jena;Antje Winkler;personal@praezisionstec.de;Jena;Steinbrück, M.;Aktiv;Nein;26,77;2026-08-12;6;3
KD-0071;Quedlinburger Umschlaglager KG;Logistik und Lager;06484;Quedlinburg;Manuela Hofmann;kontakt@quedlinburger.de;Aschersleben;Reuter, B.;Interessent;Nein;;2026-08-14;0;0
KD-0072;Logistikzentrum Ilmenau GmbH & Co. KG;Logistik und Lager;98693;Ilmenau;Matthias Meyer;info@logistikzentru.de;Gotha;Rehberg, U.;Inaktiv;Nein;27,37;2024-05-12;0;0
KD-0073;Staßfurter Druckhaus GmbH & Co. KG;Druck und Verpackung;39418;Staßfurt;Sven Winkler;office@stassfurter.de;Aschersleben;Kunze, J.;Interessent;Nein;;2024-06-09;0;0
KD-0074;Faltschachtel Gotha e.K.;Druck und Verpackung;99867;Gotha;Frank Groß;office@faltschachtel.de;Gotha;Thiel, K.;Aktiv;Nein;27,20;2026-05-16;17;3
KD-0075;Kundenzentrum Leinefelde-Worbis GmbH;Kaufmännische Dienstleistung;37327;Leinefelde-Worbis;Kathrin Kraus;verwaltung@kundenzentrum.de;Heilbad Heiligenstadt;Hille, P.;Interessent;Nein;;2026-02-22;0;0
KD-0076;Herrmann & Söhne Blechbearbeitung OHG;Metall- und Kunststoffverarbeitung;06449;Aschersleben;Kerstin Böhm;kontakt@herrmann.de;Aschersleben;Reuter, B.;Aktiv;Nein;28,72;2026-07-18;4;2
KD-0077;Faltschachtel Gera OHG;Druck und Verpackung;07545;Gera;Simone Engel;personal@faltschachtel.de;Gera;Bergmann, A.;Interessent;Nein;;2026-04-05;0;0
KD-0078;Neumann Holzverarbeitung KG;Tischlerei und Holzverarbeitung;99867;Gotha;Claudia Krause;kontakt@neumann.de;Gotha;Steinbrück, M.;Aktiv;Nein;33,98;2026-07-10;6;3
KD-0079;Vogel Offsetdruck GmbH & Co. KG;Druck und Verpackung;07745;Jena;Manuela Franke;office@vogel.de;Jena;Steinbrück, M.;Inaktiv;Nein;30,41;2024-09-26;0;0
KD-0080;Günther & Söhne Blechbearbeitung OHG;Metall- und Kunststoffverarbeitung;99510;Apolda;Stefan Beck;personal@guenther.de;Erfurt;Pfaff, R.;Aktiv;Nein;27,09;2026-06-21;3;1
KD-0081;Anlagenbau Erfurt GmbH & Co. KG;Elektro und Anlagenbau;99084;Erfurt;Nadine Böhm;office@anlagenbau.de;Erfurt;Pfaff, R.;Aktiv;Ja;32,51;2026-08-28;34;13
KD-0082;Schreiber Feinkost GmbH;Lebensmittelproduktion;07545;Gera;Beate Heinrich;info@schreiber.de;Gera;Bergmann, A.;Inaktiv;Ja;27,27;2021-12-05;0;0
KD-0083;Engel Schaltanlagen GmbH & Co. KG;Elektro und Anlagenbau;99086;Erfurt;Nadine Fischer;office@engel.de;Erfurt;Lindner, S.;Interessent;Nein;;2026-04-24;0;0
KD-0084;Elektromontage Wolf OHG;Elektro und Anlagenbau;07407;Rudolstadt;Elke Hoffmann;info@elektromontage.de;Jena;Steinbrück, M.;Aktiv;Nein;38,04;2026-05-16;6;3
KD-0085;Groß & Söhne Blechbearbeitung GmbH & Co. KG;Metall- und Kunststoffverarbeitung;98693;Ilmenau;Jörg Meyer;personal@gross.de;Gotha;Steinbrück, M.;Aktiv;Nein;27,85;2026-07-09;4;0
KD-0086;Pohl Spedition GmbH;Logistik und Lager;99510;Apolda;Alexander Kaiser;hr@pohl.de;Erfurt;Pfaff, R.;Aktiv;Ja;25,12;2026-08-28;4;2
KD-0087;Keller Präzisionsteile OHG;CNC-Zerspanung;07545;Gera;Marco Heinrich;office@keller.de;Gera;Bergmann, A.;Interessent;Nein;;2026-04-23;0;0
KD-0088;Kundenzentrum Gera GmbH;Kaufmännische Dienstleistung;07549;Gera;Antje Haas;kontakt@kundenzentrum.de;Gera;Steinbrück, M.;Interessent;Nein;;2026-02-10;0;0
KD-0089;Molkerei Aschersleben GmbH;Lebensmittelproduktion;06449;Aschersleben;Petra Ziegler;hr@molkerei.de;Aschersleben;Reuter, B.;Inaktiv;Nein;27,04;2021-06-27;0;0
KD-0090;Kunststofftechnik Nordhausen GmbH;Metall- und Kunststoffverarbeitung;99734;Nordhausen;Kathrin Schäfer;info@kunststofftech.de;Heilbad Heiligenstadt;Marx, D.;Interessent;Nein;;2026-01-20;0;0
KD-0091;Logistikzentrum Erfurt GmbH;Logistik und Lager;99084;Erfurt;Anja Brandt;personal@logistikzentru.de;Erfurt;Steinbrück, M.;Interessent;Nein;;2026-06-12;0;0
KD-0092;Faltschachtel Jena GmbH;Druck und Verpackung;07745;Jena;Elke Horn;kontakt@faltschachtel.de;Jena;Steinbrück, M.;Aktiv;Nein;27,27;2025-11-15;34;2
KD-0093;Drehteilewerk Sömmerda OHG;CNC-Zerspanung;99610;Sömmerda;Jana Lorenz;verwaltung@drehteilewerk.de;Erfurt;Pfaff, R.;Interessent;Nein;;2024-04-17;0;0
KD-0094;Günther Präzisionsteile OHG;CNC-Zerspanung;99084;Erfurt;Jana Wolf;office@guenther.de;Erfurt;Lindner, S.;Inaktiv;Nein;33,92;2020-08-13;0;0
KD-0095;Tischlerei Zimmermann GmbH;Tischlerei und Holzverarbeitung;98693;Ilmenau;Kathrin Peters;info@tischlerei.de;Gotha;Thiel, K.;Inaktiv;Nein;34,02;2023-11-26;0;0
KD-0096;Erfurter Druckhaus GmbH & Co. KG;Druck und Verpackung;99084;Erfurt;Kathrin Lange;info@erfurter.de;Erfurt;Kaiser, T.;Aktiv;Nein;29,60;2026-05-26;4;1
KD-0097;Lange Feinkost GmbH;Lebensmittelproduktion;99817;Eisenach;Michael Neumann;info@lange.de;Gotha;Rehberg, U.;Interessent;Nein;;2024-04-03;0;0
KD-0098;Kontraktlogistik Bauer GmbH;Logistik und Lager;07548;Gera;Ralf Schmidt;personal@kontraktlogist.de;Gera;Weber, M.;Aktiv;Ja;27,26;2026-01-10;8;3
KD-0099;Lang Offsetdruck GmbH & Co. KG;Druck und Verpackung;37308;Heilbad Heiligenstadt;Jana Simon;kontakt@lang.de;Heilbad Heiligenstadt;Marx, D.;Inaktiv;Nein;30,15;2025-05-08;0;0
KD-0100;Drehteilewerk Eisenach GmbH;CNC-Zerspanung;99817;Eisenach;Sabine Meier;info@drehteilewerk.de;Gotha;Rehberg, U.;Aktiv;Nein;31,11;2026-06-14;10;4
KD-0101;Becker Offsetdruck GmbH;Druck und Verpackung;99867;Gotha;Jana Jäger;office@becker.de;Gotha;Steinbrück, M.;Interessent;Nein;;2026-01-02;0;0
KD-0102;Kontraktlogistik Ludwig GmbH & Co. KG;Logistik und Lager;07548;Gera;Susanne Hartmann;verwaltung@kontraktlogist.de;Gera;Steinbrück, M.;Interessent;Nein;;2024-06-11;0;0
KD-0103;Vogel Abrechnungsdienste GmbH & Co. KG;Kaufmännische Dienstleistung;99098;Erfurt;Ramona Richter;info@vogel.de;Erfurt;Kaiser, T.;Aktiv;Ja;31,16;2026-03-09;7;2
KD-0104;Schröder Abrechnungsdienste AG;Kaufmännische Dienstleistung;07743;Jena;Patrick Vogt;verwaltung@schroeder.de;Jena;Grunewald, F.;Aktiv;Nein;27,55;2026-04-03;7;2
KD-0105;Anlagenbau Jena GmbH;Elektro und Anlagenbau;07743;Jena;Kathrin Winkler;office@anlagenbau.de;Jena;Steinbrück, M.;Aktiv;Nein;30,82;2026-09-07;4;1
KD-0106;Lang Spedition GmbH;Logistik und Lager;98693;Ilmenau;Stefan Beck;kontakt@lang.de;Gotha;Steinbrück, M.;Inaktiv;Nein;23,92;2025-02-08;5;1
KD-0107;Präzisionstechnik Krämer GmbH;Metall- und Kunststoffverarbeitung;99091;Erfurt;Kevin Hahn;personal@praezisionstec.de;Erfurt;Pfaff, R.;Aktiv;Nein;29,54;2026-05-01;2;1
KD-0108;Heilbad Heiligenstadter Druckhaus GmbH & Co. KG;Druck und Verpackung;37308;Heilbad Heiligenstadt;Christian Brandt;personal@heilbad.de;Heilbad Heiligenstadt;MARX;Interessent;Nein;;2026-02-01;0;0
KD-0109;Thüringer Kunststoffwerk Nordhausen OHG;Metall- und Kunststoffverarbeitung;99734;Nordhausen;Robert Hahn;kontakt@thueringer.de;Heilbad Heiligenstadt;Marx, D.;Aktiv;Nein;27,52;2026-02-03;5;2
KD-0110;FlÃ¤ischwerk Apolda e.K.;Lebensmittelproduktion;99510;Apolda;Dirk Fuchs;kontakt@fleischwerk.de;Erfurt;Kaiser, T.;Inaktiv;Nein;25,57;2024-01-18;0;0
KD-0111;Distributionszentrum Jena OHG;Logistik und Lager;07743;Jena;Kevin Kuhn;kontakt@distributionsz.de;Jena;Grunewald, F.;Interessent;Nein;;2026-07-22;0;0
KD-0112;Kontraktlogistik Vogel GmbH;Logistik und Lager;07743;Jena;Julia Lange;hr@kontraktlogist.de;Jena;Grunewald, F.;Interessent;Nein;;2024-02-03;0;0
KD-0113;Krämer Abrechnungsdienste OHG;Kaufmännische Dienstleistung;99086;Erfurt;Silke Roth;hr@kraemer.de;Erfurt;Kaiser, T.;Aktiv;Nein;30,61;2026-01-02;6;3
KD-0114;Präzisionstechnik Schulze AG;Metall- und Kunststoffverarbeitung;99087;Erfurt;Dirk Frank;info@praezisionstec.de;Erfurt;Lindner, S.;Inaktiv;Nein;27,70;2020-06-16;0;0
KD-0115;Verpackungswerk Erfurt GmbH & Co. KG;Druck und Verpackung;99086;Erfurt;Jörg Pohl;personal@verpackungswer.de;Erfurt;Lindner, S.;Inaktiv;Nein;30,52;2020-11-15;0;0
KD-0116;Bernburger Umschlaglager AG;Logistik und Lager;06406;Bernburg;Marcel Schneider;personal@bernburger.de;Aschersleben;Reuter, B.;Inaktiv;Nein;27,71;2020-12-05;0;0
KD-0117;Arnstadter Baugesellschaft KG;Bau und Baunebengewerbe;99310;Arnstadt;Marcel Jung;kontakt@arnstadter.de;Erfurt;Kaiser, T.;Interessent;Nein;;2024-02-20;0;0
KD-0118;Verpackungswerk Rudolstadt GmbH;Druck und Verpackung;07407;Rudolstadt;Petra Hofmann;info@verpackungswer.de;Jena;Steinbrück, M.;Inaktiv;Ja;30,06;2024-04-23;0;0
KD-0119;Lorenz Abrechnungsdienste GmbH;Kaufmännische Dienstleistung;99974;Mühlhausen;Ramona Berger;verwaltung@lorenz.de;Heilbad Heiligenstadt;Hille, P.;Interessent;Nein;;2026-06-10;0;0
KD-0120;Eisenacher Metallwaren GmbH & Co. KG;Metall- und Kunststoffverarbeitung;99817;Eisenach;Sven Krüger;info@eisenacher.de;Gotha;Thiel, K.;Inaktiv;Nein;27,64;2019-10-16;0;0
KD-0121;Weimarer Metallwaren OHG;Metall- und Kunststoffverarbeitung;99423;Weimar;Matthias Roth;office@weimarer.de;Erfurt;Pfaff, R.;Inaktiv;Nein;28,20;2022-01-03;0;0
KD-0122;CNC-Technik Dietrich GmbH;CNC-Zerspanung;06484;Quedlinburg;Sabine Meyer;office@cnctechnik.de;Aschersleben;Kunze, J.;Inaktiv;Nein;30,01;2024-01-14;0;0
KD-0123;Fischer Spedition GmbH;Logistik und Lager;99734;Nordhausen;Nadine Richter;hr@fischer.de;Heilbad Heiligenstadt;Marx, D.;Aktiv;Nein;27,76;2026-05-11;8;6
KD-0124;Simon Offsetdruck e.K.;Druck und Verpackung;06449;Aschersleben;Enrico Schuster;office@simon.de;Aschersleben;Kunze, J.;Inaktiv;Nein;29,90;2020-11-01;0;0
KD-0125;Servicecenter Gera OHG;Kaufmännische Dienstleistung;07545;Gera;Franziska Köhler;kontakt@servicecenter.de;Gera;Weber, M.;Interessent;Nein;;2026-03-26;0;0
KD-0126;Elektrotechnik Lang OHG;Elektro und Anlagenbau;39418;Staßfurt;Marcel Zimmermann;personal@elektrotechnik.de;Aschersleben;Kunze, J.;Inaktiv;Nein;32,80;2024-04-27;0;0
KD-0127;Präzisionstechnik Günther GmbH;Metall- und Kunststoffverarbeitung;99867;Gotha;Kevin Krämer;info@praezisionstec.de;Gotha;Rehberg, U.;Inaktiv;Nein;29,28;2019-12-18;0;0
KD-0128;Erfurter Druckhaus KG;Druck und Verpackung;99087;Erfurt;Michael Lehmann;verwaltung@erfurter.de;Erfurt;Pfaff, R.;Interessent;Nein;;2024-08-27;0;0
KD-0129;Baumann Holzverarbeitung GmbH & Co. KG;Tischlerei und Holzverarbeitung;98693;Ilmenau;Frank Hartmann;verwaltung@baumann.de;Gotha;Rehberg, U.;Aktiv;Ja;29,23;2026-03-02;3;2
KD-0130;Verpackungswerk Greiz e.K.;Druck und Verpackung;07973;Greiz;Manuela Winter;hr@verpackungswer.de;Gera;Weber, M.;Interessent;Nein;;2026-03-03;0;0
